Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,4
2020-03-01,10
2020-03-02,13
2020-03-03,13
2020-03-04,13
2020-03-05,16
2020-03-06,22
2020-03-07,22
2020-03-08,32
2020-03-09,32
2020-03-10,41
2020-03-11,61
2020-03-12,61
2020-03-13,77
2020-03-14,93
2020-03-15,110
2020-03-16,110
2020-03-17,120
2020-03-18,133
2020-03-19,157
2020-03-20,163
2020-03-21,187
2020-03-22,248
2020-03-23,267
2020-03-24,318
2020-03-25,333
2020-03-26,368
2020-03-27,391
2020-03-28,412
2020-03-29,438
2020-03-30,446
2020-03-31,470
2020-04-01,479
2020-04-02,494
2020-04-03,508
2020-04-04,520
2020-04-05,527
2020-04-06,541
2020-04-07,548
2020-04-08,576
2020-04-09,582
2020-04-10,609
2020-04-11,619
2020-04-12,630
2020-04-13,632
2020-04-14,641
2020-04-15,658
2020-04-16,663
2020-04-17,668
2020-04-18,672
2020-04-19,673
2020-04-20,677
2020-04-21,677
2020-04-22,682
2020-04-23,688
2020-04-24,696
2020-04-25,704
2020-04-26,707
2020-04-27,710
2020-04-28,717
2020-04-29,721
2020-04-30,725
2020-05-01,729
2020-05-02,733
2020-05-03,737
2020-05-04,740
2020-05-05,741
2020-05-06,750
2020-05-07,784
2020-05-08,796
2020-05-09,809
2020-05-10,845
2020-05-11,859
2020-05-12,870
2020-05-13,878
2020-05-14,886
2020-05-15,891
2020-05-16,902
2020-05-17,911
2020-05-18,931
2020-05-19,954
2020-05-20,961
2020-05-21,1024
2020-05-22,1086
2020-05-23,1097
2020-05-24,1114
2020-05-25,1119
2020-05-26,1140
2020-05-27,1161
2020-05-28,1168
2020-05-29,1172
2020-05-30,1191
2020-05-31,1220
2020-06-01,1233
2020-06-02,1242
2020-06-03,1256
2020-06-04,1306
2020-06-05,1312
2020-06-06,1320
2020-06-07,1331
2020-06-08,1350
2020-06-09,1368
2020-06-10,1388
2020-06-11,1402
2020-06-12,1422
2020-06-13,1442
2020-06-14,1446
2020-06-15,1464
2020-06-16,1473
2020-06-17,1489
2020-06-18,1495
2020-06-19,1510
2020-06-20,1536
2020-06-21,1587
2020-06-22,1603
2020-06-23,1622
2020-06-24,1644
2020-06-25,1662
2020-06-26,1697
2020-06-27,1719
2020-06-28,1740
2020-06-29,1745
2020-06-30,1778
2020-07-01,1788
2020-07-02,1796
2020-07-03,1830
2020-07-04,1855
2020-07-05,1873
2020-07-06,1885
2020-07-07,1907
2020-07-08,1946
2020-07-09,2011
2020-07-10,2082
2020-07-11,2168
2020-07-12,2334
2020-07-13,2419
2020-07-14,2451
2020-07-15,2542
2020-07-16,2599
2020-07-17,2700
2020-07-18,2775
2020-07-19,2859
2020-07-20,2905
2020-07-21,2980
2020-07-22,3104
2020-07-23,3260
2020-07-24,3407
2020-07-25,3582
2020-07-26,3750
2020-07-27,3882
2020-07-28,4023
2020-07-29,4205
2020-07-30,4334
2020-07-31,4555
2020-08-01,4730
2020-08-02,4885
2020-08-03,5062
2020-08-04,5062
2020-08-05,5417
2020-08-06,5672
2020-08-07,5951
2020-08-08,6223
2020-08-09,6517
2020-08-10,6812
2020-08-11,7121
