Date,Cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,8
2020-01-27,10
2020-01-28,10
2020-01-29,12
2020-01-30,18
2020-01-31,18
2020-02-01,24
2020-02-02,24
2020-02-03,24
2020-02-04,26
2020-02-05,26
2020-02-06,28
2020-02-07,30
2020-02-08,30
2020-02-09,30
2020-02-10,30
2020-02-11,30
2020-02-12,30
2020-02-13,30
2020-02-14,30
2020-02-15,30
2020-02-16,30
2020-02-17,30
2020-02-18,30
2020-02-19,30
2020-02-20,30
2020-02-21,30
2020-02-22,30
2020-02-23,30
2020-02-24,30
2020-02-25,30
2020-02-26,30
2020-02-27,30
2020-02-28,30
2020-02-29,50
2020-03-01,54
2020-03-02,60
2020-03-03,78
2020-03-04,104
2020-03-05,110
2020-03-06,120
2020-03-07,126
2020-03-08,152
2020-03-09,182
2020-03-10,214
2020-03-11,256
2020-03-12,256
2020-03-13,400
2020-03-14,500
2020-03-15,594
2020-03-16,754
2020-03-17,904
2020-03-18,1136
2020-03-19,1362
2020-03-20,1582
2020-03-21,2142
2020-03-22,3098
2020-03-23,3364
2020-03-24,4088
2020-03-25,4728
2020-03-26,5620
2020-03-27,6286
2020-03-28,7280
2020-03-29,7968
2020-03-30,8722
2020-03-31,9118
2020-04-01,9724
2020-04-02,10232
2020-04-03,10660
2020-04-04,11100
2020-04-05,11374
2020-04-06,11594
2020-04-07,11790
2020-04-08,12020
2020-04-09,12216
2020-04-10,12430
2020-04-11,12606
2020-04-12,12630
2020-04-13,12702
2020-04-14,12830
2020-04-15,12880
2020-04-16,12924
2020-04-17,13044
2020-04-18,13136
2020-04-19,13220
2020-04-20,13246
2020-04-21,13290
2020-04-22,13304
2020-04-23,13324
2020-04-24,13354
2020-04-25,13388
2020-04-26,13428
2020-04-27,13442
2020-04-28,13488
2020-04-29,13504
2020-04-30,13532
2020-05-01,13556
2020-05-02,13598
2020-05-03,13644
2020-05-04,13694
2020-05-05,13750
2020-05-06,13788
2020-05-07,13826
2020-05-08,13836
2020-05-09,13878
2020-05-10,13896
2020-05-11,13940
2020-05-12,13960
2020-05-13,13978
2020-05-14,14038
2020-05-15,14070
2020-05-16,14088
2020-05-17,14108
2020-05-18,14136
2020-05-19,14144
2020-05-20,14162
2020-05-21,14190
2020-05-22,14198
2020-05-23,14228
2020-05-24,14228
2020-05-25,14252
2020-05-26,14278
2020-05-27,14300
2020-05-28,14330
2020-05-29,14368
2020-05-30,14384
2020-05-31,14404
2020-06-01,14442
2020-06-02,14458
2020-06-03,14480
2020-06-04,14494
2020-06-05,14504
2020-06-06,14518
2020-06-07,14530
2020-06-08,14534
2020-06-09,14548
2020-06-10,14570
2020-06-11,14578
2020-06-12,14588
2020-06-13,14640
2020-06-14,14670
2020-06-15,14694
2020-06-16,14740
2020-06-17,14782
2020-06-18,14818
2020-06-19,14822
2020-06-20,14922
2020-06-21,14948
2020-06-22,14984
2020-06-23,15042
2020-06-24,15116
2020-06-25,15190
2020-06-26,15202
2020-06-27,15372
2020-06-28,15528
2020-06-29,15668
2020-06-30,15840
2020-07-01,16002
2020-07-02,16132
2020-07-03,16520
2020-07-04,16886
2020-07-05,17166
2020-07-06,17510
2020-07-07,17772
2020-07-08,18112
2020-07-09,18748
2020-07-10,19106
2020-07-11,19594
2020-07-12,19960
2020-07-13,20502
2020-07-14,20974
2020-07-15,21620
2020-07-16,22466
2020-07-17,22882
2020-07-18,23604
2020-07-19,24138
2020-07-20,24856
2020-07-21,25788
2020-07-22,26604
2020-07-23,27190
2020-07-24,27900
2020-07-25,28806
2020-07-26,29870
2020-07-27,30606
2020-07-28,31164
2020-07-29,32596
2020-07-30,33806
2020-07-31,34560
2020-08-01,35790
2020-08-02,36636
2020-08-03,37460
2020-08-04,38890
